system_time,time,pos,curr,dt,velocity,Filtered Velocity
1751558358,8202,0,0.39,0,0,0
1751558358,8212,0,0.39,10,0,0
1751558358,8222,0,0.39,10,0,0
1751558358,8232,0,0.39,10,0,0
1751558358,8243,0,0.39,11,0,0
1751558358,8253,0,0.39,10,0,0
1751558358,8263,0,0.39,10,0,0
1751558358,8273,0,0.39,10,0,0
1751558358,8283,0,0.39,10,0,0
1751558358,8293,0,0.39,10,0,0
1751558358,8303,0,0.39,10,0,0
1751558358,8313,0,0.39,10,0,0
1751558358,8324,0,0.39,11,0,0
1751558358,8334,0,0.39,10,0,0
1751558358,8344,0,0.39,10,0,0
1751558358,8354,0,0.39,10,0,0
1751558358,8365,0,0.39,11,0,0
1751558358,8375,0,0.39,10,0,0
1751558358,8385,0,0.39,10,0,0
1751558358,8395,0,0.39,10,0,0
1751558358,8406,0,0.39,11,0,0
1751558358,8416,0,0.39,10,0,0
1751558358,8426,0,0.39,10,0,0
1751558358,8436,0,0.39,10,0,0
1751558358,8446,0,0.39,10,0,0
1751558358,8457,0,0.39,11,0,0
1751558358,8467,0,0.39,10,0,0
1751558358,8477,0,0.39,10,0,0
1751558358,8487,0,0.39,10,0,0
1751558358,8498,0,0.39,11,0,0
1751558358,8507,0,0.39,9,0,0
1751558358,8517,0,0.39,10,0,0
1751558358,8527,0,0.39,10,0,0
1751558358,8538,0,0.39,11,0,0
1751558358,8548,0,0.39,10,0,0
1751558358,8558,0,0.39,10,0,0
1751558358,8568,0,0.39,10,0,0
1751558358,8579,0,0.39,11,0,0
1751558358,8589,0,0.39,10,0,0
1751558358,8599,0,0.39,10,0,0
1751558358,8609,0,0.39,10,0,0
1751558358,8620,0,0.39,11,0,0
1751558358,8630,0,0.39,10,0,0
1751558358,8640,0,0.39,10,0,0
1751558358,8650,0,0.39,10,0,0
1751558358,8660,0,0.39,10,0,0
1751558359,8671,0,0.39,11,0,0
1751558359,8681,0,0.39,10,0,0
1751558359,8691,0,0.39,10,0,0
1751558359,8701,0,0.39,10,0,0
1751558359,8712,0,0.39,11,0,0
1751558359,8722,0,0.39,10,0,0
1751558359,8731,0,0.39,9,0,0
1751558359,8741,0,0.39,10,0,0
1751558359,8752,0,0.39,11,0,0
1751558359,8762,0,0.39,10,0,0
1751558359,8772,0,0.39,10,0,0
1751558359,8782,0,0.39,10,0,0
1751558359,8793,0,0.39,11,0,0
1751558359,8803,0,0.39,10,0,0
1751558359,8813,0,0.39,10,0,0
1751558359,8823,0,0.39,10,0,0
1751558359,8834,2,0.39,11,0.181818182,0.013425455
1751558359,8844,6,0.39,10,0.4,0.071128595
1751558359,8854,14,331.74,10,0.8,0.204389789
1751558359,8864,25,331.74,10,1.1,0.425349463
1751558359,8875,41,331.74,11,1.454545455,0.715565374
1751558359,8885,59,331.74,10,1.8,1.047325944
1751558359,8895,81,331.74,10,2.2,1.404170842
1751558359,8905,106,331.74,10,2.5,1.772215252
1751558359,8916,134,706.84,11,2.545454545,2.113152748
1751558359,8927,165,706.84,11,2.818181818,2.391726314
1751558359,8937,199,706.84,10,3.4,2.650077193
1751558359,8947,236,706.84,10,3.7,2.952376258
1751558359,8957,275,706.84,10,3.9,3.284708357
1751558359,8969,317,706.84,12,3.5,3.552846821
1751558359,8979,361,649.8,10,4.4,3.738682809
1751558359,8989,407,649.8,10,4.6,3.955393803
1751558359,8999,455,649.8,10,4.8,4.231001408
1751558359,9010,505,649.8,11,4.545454545,4.473881674
